@relation people_2D-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute n_points numeric
@attribute std numeric
@attribute mean_deviation numeric
@attribute width numeric
@attribute linearity numeric
@attribute circularity numeric
@attribute radius numeric
@attribute boundary_length numeric
@attribute boundary_regularity numeric
@attribute mean_curvaure numeric
@attribute angular_difference numeric
@attribute person {-1,1}

@data
6,0.14538,0.017606,0.057164,0.015022,0.000046,0.046511,0.06177,0.003628,206.63,0.19873,-1
58,0.45234,0.20151,0.75441,1.7173,0.37822,0.26614,0.98695,0.015933,1096.1,-0.006028,-1
95,0.56676,0.31281,1.3661,2.0921,0.068234,1.8971,1.557,0.008785,2454.3,0.021101,-1
21,0.35417,0.11916,0.39516,2.4053,0.061373,0.13142,0.53009,0.019973,286.44,-0.037,-1
25,0.1862,0.032978,0.12527,0.76381,0.001076,0.072112,0.17703,0.006295,1553.6,0.1061,1
27,0.28216,0.075222,0.29365,0.48679,0.0002,0.19682,0.33147,0.003968,417.85,0.03822,-1
52,0.48224,0.22805,0.90385,1.797,0.013595,1.7298,0.96698,0.00451,648.91,0.035378,-1
13,0.30199,0.083907,0.31489,0.063793,0.000342,0.54744,0.32776,0.005203,186.55,0.008153,-1
11,0.25537,0.059572,0.17717,0.21417,0.002773,0.07313,0.25943,0.010782,161.32,0.17297,-1
7,0.17809,0.027136,0.094869,0.004679,0.000017,0.24332,0.09515,0.000067,24.903,-0.026075,-1
10,0.29597,0.075951,0.26112,0.10562,0.000677,0.20746,0.28913,0.019663,194.75,-0.082202,-1
34,0.4963,0.2376,0.88604,0.16153,0.015511,1.5006,0.93575,0.011935,392.6,0.054524,-1
13,0.31259,0.08996,0.32995,0.058116,0.009953,0.16331,0.33409,0.000968,45.546,-0.005577,-1
6,0.14793,0.018288,0.059771,0.025073,0.000015,0.042403,0.066871,0.006244,141.07,0.22943,-1
58,0.45324,0.20209,0.75543,1.8218,0.32519,0.27865,0.98498,0.016313,1175.8,-0.006028,-1
95,0.56671,0.313,1.3661,2.0913,0.071139,1.8707,1.5396,0.008498,2232.8,0.021206,-1
27,0.39071,0.14731,0.51657,3.0395,0.10197,0.17543,0.6432,0.014245,364.23,-0.061566,-1
8,0.13119,0.015058,0.052984,0.021304,0.000007,0.055741,0.055193,0.001584,206.75,0.066691,-1
27,0.18851,0.034001,0.13703,0.57443,0.000699,0.092721,0.15394,0.001786,1656.3,0.034919,1
13,0.22579,0.046948,0.1781,0.03505,0.001224,0.1363,0.18565,0.004246,259.71,-0.016762,-1
49,0.46861,0.21508,0.84677,0.14109,0.68379,0.25542,0.86224,0.00159,551.93,0.00492,-1
13,0.29865,0.081916,0.30287,0.053668,0.000507,0.50078,0.31076,0.003897,132.54,-0.031841,-1
11,0.25666,0.06089,0.17647,0.23125,0.001953,0.072579,0.25713,0.015643,200.34,0.1116,-1
21,0.32881,0.10033,0.3729,0.6046,0.002102,0.21375,0.48198,0.015351,472.8,-0.064352,-1
34,0.49629,0.23763,0.89606,0.16862,0.026053,1.1828,0.94574,0.011794,470.48,0.06193,-1
13,0.31209,0.089715,0.33103,0.039863,0.000747,0.54955,0.33525,0.000794,66.6,0.012429,-1
6,0.15081,0.018794,0.059033,0.02198,0.000019,0.041533,0.064144,0.004207,94.784,0.18531,-1
58,0.45254,0.20187,0.75502,1.7238,0.39461,0.26248,0.99097,0.01607,1110.1,-0.006028,-1
95,0.56724,0.31315,1.3572,2.1296,0.07101,1.858,1.5447,0.008705,2255.1,0.021275,-1
29,0.40253,0.15577,0.55786,3.7016,0.14774,0.18127,0.72213,0.019083,429.61,-0.057775,-1
15,0.16797,0.027098,0.093184,0.11641,0.000267,0.048825,0.11173,0.002419,594.11,0.061278,-1
29,0.19672,0.036769,0.15339,0.5907,0.000672,0.086235,0.18311,0.004311,1662.6,0.040868,1
52,0.4822,0.22803,0.90111,6.0058,0.016649,1.5681,0.94981,0.003286,514.23,0.028355,-1
13,0.30056,0.082969,0.31876,0.06461,0.000766,0.43267,0.33214,0.005697,118.6,0.020399,-1
11,0.25706,0.064121,0.17544,0.25486,0.001777,0.072586,0.26082,0.015369,191.69,0.1034,-1
21,0.32772,0.099637,0.39526,0.53707,0.001383,0.24432,0.46858,0.013932,391.39,-0.050764,-1
34,0.49421,0.23601,0.89083,0.16134,0.018181,1.4175,0.95358,0.012913,392.16,0.057669,-1
13,0.31305,0.090314,0.32883,0.08539,0.016186,0.13243,0.34063,0.002084,108.03,-0.033869,-1
6,0.14343,0.017101,0.057238,0.024551,0.000025,0.038066,0.065786,0.006775,217.01,0.21095,-1
58,0.45235,0.20134,0.75258,1.6913,0.39995,0.2626,0.98018,0.015915,952.81,-0.015414,-1
95,0.56722,0.31325,1.365,2.0842,0.070226,1.8805,1.5287,0.008224,2088.9,0.020719,-1
31,0.41121,0.1628,0.596,3.5545,0.15952,0.20204,0.74614,0.017916,441.13,-0.037756,-1
15,0.16935,0.026497,0.093979,0.21651,0.00012,0.048377,0.11573,0.003316,572.08,0.080256,-1
29,0.1957,0.036299,0.15307,0.50268,0.000439,0.087911,0.18195,0.004523,1361.8,0.041443,1
52,0.4821,0.22794,0.90293,1.1147,0.010801,1.9205,0.95574,0.003416,670.05,0.032995,-1
13,0.30404,0.084745,0.30618,0.067202,0.000493,0.45414,0.31473,0.004124,112.32,-0.012968,-1
11,0.26046,0.065426,0.1779,0.25364,0.002188,0.072241,0.27131,0.01684,210.97,0.093964,-1
21,0.33074,0.10322,0.40945,0.54392,0.002089,0.24447,0.51241,0.017064,451.54,-0.020826,-1
33,0.48457,0.22658,0.85749,0.16196,0.015354,1.352,0.91173,0.011531,367.34,0.069502,-1
14,0.32372,0.097278,0.35761,0.071924,0.001739,0.43071,0.36517,0.001536,95.02,-0.005664,-1
6,0.13804,0.015849,0.052773,0.016766,0.000003,0.047635,0.05603,0.003191,105.31,0.17088,-1
58,0.45243,0.20174,0.75258,1.725,0.4026,0.26058,0.99281,0.015866,1100,-0.007328,-1
95,0.56724,0.31312,1.3647,2.0985,0.065396,1.9183,1.5405,0.008356,2414.1,0.020772,-1
35,0.43019,0.18035,0.67158,3.6543,0.28801,0.21735,0.82936,0.018187,416.76,-0.020649,-1
13,0.15911,0.023157,0.080368,0.24871,0.000065,0.039744,0.10587,0.004109,498.77,0.093485,-1
28,0.18649,0.033207,0.13537,0.51018,0.000313,0.091644,0.16002,0.003813,1698.3,0.071373,1
49,0.46861,0.21506,0.84739,0.15835,0.033148,1.0511,0.86002,0.001183,489.95,-0.001428,-1
13,0.30098,0.083228,0.30826,0.054981,0.000909,0.39701,0.31979,0.005185,169.06,-0.007674,-1
11,0.26167,0.063717,0.17637,0.25994,0.002195,0.072489,0.28228,0.017809,201.06,0.17225,-1
20,0.3231,0.097047,0.369,0.46329,0.001441,0.2382,0.4486,0.01207,398.2,-0.093216,-1
34,0.4961,0.23777,0.88469,0.1817,0.01942,1.3216,0.93262,0.011741,313.18,0.060137,-1
13,0.31156,0.089482,0.32951,0.057094,0.025728,0.1106,0.33256,0.000582,27.763,0.000476,-1
6,0.15722,0.02031,0.06876,0.029351,0.000008,0.050838,0.075122,0.007955,127.27,0.17908,-1
58,0.45236,0.20126,0.75499,1.6907,0.39108,0.26302,0.98783,0.016271,1115.3,-0.008604,-1
95,0.56704,0.31299,1.3652,2.1292,0.071696,1.863,1.5461,0.008389,2313.1,0.021709,-1
36,0.43485,0.18451,0.69334,4.6547,0.31233,0.2253,0.81923,0.014867,369.49,-0.023747,-1
8,0.15322,0.020699,0.072882,0.026277,0.00005,0.058514,0.080271,0.005585,324.89,0.048717,-1
28,0.18389,0.032388,0.12916,0.58504,0.000405,0.088851,0.15198,0.002762,1564.4,0.059155,1
49,0.46863,0.21507,0.84487,0.15207,0.003374,3.1208,0.85474,0.000956,453.21,-0.006008,-1
13,0.30237,0.083857,0.3078,0.057762,0.000942,0.39263,0.3155,0.003907,122.51,-0.011481,-1
13,0.26825,0.068568,0.24046,0.29499,0.010665,0.074839,0.36103,0.023695,267.85,-0.05975,-1
18,0.31756,0.092788,0.36965,0.37744,0.001861,0.2414,0.42135,0.016169,345.26,-0.070042,-1
34,0.49662,0.2387,0.90742,0.18316,0.011858,1.7086,0.96326,0.013859,414.86,0.06014,-1
13,0.31336,0.09043,0.33058,0.061734,0.00232,0.32289,0.33732,0.001128,72.957,0.023673,-1
6,0.14353,0.017256,0.053207,0.01361,0.000035,0.040384,0.056026,0.002218,103.73,0.094313,-1
58,0.45267,0.2019,0.75477,1.7406,0.3941,0.26335,0.9848,0.015954,1115.7,-0.01224,-1
95,0.56704,0.31301,1.3693,2.1228,0.075287,1.8311,1.555,0.008646,2265.8,0.021443,-1
36,0.43429,0.18425,0.68997,3.3095,0.36623,0.21578,0.81751,0.01439,488.14,-0.019528,-1
11,0.23916,0.051131,0.24104,0.11125,0.00061,0.20997,0.25469,0.022695,140.2,-0.038464,-1
30,0.19529,0.036104,0.14086,0.97721,0.000483,0.074129,0.22658,0.008441,2040.3,0.093678,1
48,0.46417,0.21098,0.83021,0.13356,0.009584,1.8476,0.83769,0.000846,323.99,-0.00174,-1
13,0.30223,0.083758,0.30967,0.078324,0.000896,0.37588,0.32669,0.007127,197.78,-0.02615,-1
11,0.25378,0.058621,0.17594,0.22353,0.001952,0.073097,0.25689,0.013681,226.5,0.12875,-1
17,0.3146,0.091259,0.34323,0.35935,0.000662,0.23506,0.39316,0.017121,329.5,-0.061608,-1
34,0.49467,0.23612,0.87032,0.1754,0.014482,1.4978,0.92101,0.011202,390.01,0.049935,-1
13,0.31252,0.089943,0.33096,0.045303,0.003113,0.2931,0.33422,0.000982,53.51,-0.005625,-1
7,0.14867,0.018723,0.063596,0.015165,0.000087,0.04818,0.068981,0.002762,331.35,0.14038,-1
58,0.45203,0.20117,0.75582,1.6708,0.37306,0.26844,0.97627,0.014996,1149.4,-0.006028,-1
95,0.56702,0.3131,1.3586,2.1112,0.069344,1.8673,1.5451,0.008642,2419.1,0.021513,-1
36,0.43435,0.18426,0.6873,3.3316,0.39559,0.21286,0.84056,0.016221,461.82,-0.013667,-1
14,0.23401,0.050874,0.20747,0.088922,0.003974,0.10653,0.22762,0.009243,375.61,0.059273,-1
44,0.36034,0.11419,0.29332,1.1943,0.016636,0.15024,0.55212,0.024718,2854.5,0.036064,1
33,0.38878,0.14652,0.5751,0.16583,0.00194,1.4264,0.59129,0.002957,294.34,0.013852,-1
13,0.29903,0.082214,0.31538,0.061127,0.001043,0.40169,0.32823,0.005117,167.93,-0.004944,-1
11,0.25789,0.060413,0.1783,0.22636,0.001848,0.074871,0.25431,0.013535,171.69,0.12488,-1
17,0.31096,0.088138,0.35353,0.34358,0.00139,0.23249,0.39433,0.015084,277.44,-0.040754,-1
34,0.4944,0.2359,0.90116,0.14288,0.01426,1.5729,0.95767,0.010793,308.97,0.069053,-1
13,0.31281,0.090004,0.33051,0.062492,0.001216,0.4269,0.33407,0.000991,47.01,-0.005625,-1
7,0.15538,0.020187,0.068817,0.023548,0.000022,0.058591,0.073862,0.00395,179.44,0.13176,-1
58,0.45268,0.20165,0.75582,1.7182,0.37078,0.2695,0.99208,0.016453,1173.5,-0.009854,-1
95,0.56726,0.31309,1.3603,2.1322,0.065707,1.8992,1.5266,0.008437,2251.6,0.019625,-1
36,0.43515,0.18493,0.68976,3.812,0.34435,0.21822,0.85136,0.018096,500.67,-0.019528,-1
16,0.23527,0.051785,0.19734,0.096234,0.000546,0.17357,0.21431,0.005599,338.41,0.010908,-1
31,0.19624,0.036613,0.15012,0.98981,0.000632,0.07746,0.20629,0.006193,1494.5,0.078857,1
27,0.21653,0.04505,0.16193,1.017,0.001064,0.085242,0.19329,0.002213,1396.5,0.011388,-1
16,0.27897,0.072858,0.27226,0.14259,0.000318,0.43817,0.28007,0.001416,209.08,0.01664,-1
13,0.30118,0.083555,0.30914,0.048564,0.001375,0.36204,0.32188,0.006159,166.63,0.030028,-1
11,0.25901,0.063193,0.17568,0.29064,0.002251,0.069917,0.27086,0.01494,201.6,0.11475,-1
17,0.31164,0.087982,0.34946,0.39187,0.002038,0.20206,0.39933,0.015049,217.84,-0.052205,-1
34,0.49421,0.23623,0.89451,0.14984,0.015382,1.5195,0.93954,0.010579,280.52,0.05953,-1
13,0.31108,0.08908,0.3291,0.04452,0.001255,0.43879,0.33273,0.000641,63.58,-0.011515,-1
7,0.16275,0.022323,0.073834,0.020554,0.000065,0.061809,0.079677,0.00587,195.89,0.062294,-1
58,0.45229,0.20124,0.75541,1.6557,0.41874,0.25833,0.98972,0.016118,1040.1,-0.006028,-1
95,0.56759,0.31357,1.3658,2.0914,0.065785,1.9176,1.5274,0.007996,2441.2,0.02043,-1
36,0.43451,0.18461,0.68955,3.152,0.31904,0.22202,0.84179,0.016403,587.07,-0.02175,-1
20,0.25509,0.061899,0.2366,0.19148,0.000531,0.19863,0.26299,0.004512,685.73,-0.007357,-1
31,0.19333,0.035941,0.14055,0.831,0.000937,0.079666,0.17598,0.003259,2096.4,0.063313,1
16,0.27219,0.069459,0.25994,0.042163,0.005147,0.15515,0.26179,0.000312,90.491,-0.013374,-1
23,0.20399,0.040077,0.13931,0.81607,0.002115,0.06119,0.17675,0.003404,872.23,0.047457,-1
13,0.29799,0.081849,0.30757,0.028274,0.013361,0.12388,0.3137,0.003086,105.04,-0.005508,-1
12,0.26566,0.064994,0.19361,0.29806,0.002634,0.078262,0.29583,0.017268,285.34,0.14735,-1
17,0.30807,0.085985,0.34541,0.40778,0.003196,0.18355,0.39902,0.018253,240.08,-0.005114,-1
34,0.49536,0.2365,0.90033,0.15681,0.026407,1.1725,0.9558,0.011826,329.75,0.067912,-1
13,0.31227,0.089794,0.33118,0.039403,0.014806,0.1401,0.33457,0.0008,57.321,-0.005625,-1
7,0.16465,0.022633,0.084811,0.033054,0.000028,0.067171,0.094265,0.009205,228.02,0.20919,-1
58,0.45202,0.20119,0.75287,1.6668,0.36797,0.2687,0.99134,0.015407,1153.7,-0.006028,-1
95,0.56705,0.3134,1.3701,2.0549,0.066142,1.9214,1.5215,0.008058,2032.7,0.021767,-1
36,0.43503,0.1846,0.69016,4.0364,0.28601,0.22931,0.8385,0.015966,461.25,-0.022779,-1
22,0.26186,0.065025,0.2424,0.22318,0.000601,0.20466,0.26062,0.003717,416.97,0.02993,-1
32,0.19924,0.0383,0.14687,1.0526,0.001026,0.079893,0.17921,0.002376,2452.6,0.016662,1
23,0.32473,0.10073,0.38466,0.087677,0.004891,0.39983,0.38958,0.000719,178.66,-0.018797,-1
25,0.21344,0.043462,0.15214,0.77077,0.002794,0.066683,0.1859,0.002456,992.68,0.02902,-1
13,0.30154,0.083679,0.30561,0.07347,0.000446,0.46673,0.31458,0.004637,139.39,-0.010153,-1
12,0.26452,0.066082,0.19339,0.31316,0.001766,0.081698,0.28172,0.014483,247.89,0.10159,-1
21,0.33087,0.10222,0.4169,0.49305,0.001768,0.26922,0.47727,0.014801,322.95,-0.023686,-1
34,0.49845,0.23957,0.90154,0.16342,0.015758,1.5042,0.96302,0.011182,396.13,0.067838,-1
13,0.31236,0.089812,0.33074,0.057169,0.001736,0.37436,0.33536,0.001381,61.669,0.000483,-1
7,0.16425,0.022562,0.075951,0.027378,0.000045,0.058736,0.083634,0.006384,175.41,0.19254,-1
58,0.45242,0.20144,0.75432,1.7118,0.38758,0.26463,0.97554,0.015879,915.61,-0.011076,-1
95,0.56717,0.31305,1.3677,2.1633,0.068817,1.8769,1.526,0.00812,2122.5,0.020584,-1
36,0.43508,0.18463,0.68791,3.9877,0.33017,0.22068,0.84515,0.016517,395.86,-0.011525,-1
28,0.28483,0.076965,0.29863,0.91864,0.000536,0.20992,0.33216,0.003627,539.94,0.03232,-1
34,0.21164,0.043453,0.16178,1.3141,0.000898,0.080045,0.21706,0.004098,2556.3,0.042372,1
23,0.32723,0.10241,0.39184,0.25846,0.005298,0.38797,0.40618,0.002518,222.82,-0.035141,-1
22,0.20265,0.03887,0.13488,0.66997,0.002103,0.058828,0.17179,0.002534,875.2,0.045701,-1
13,0.30307,0.084238,0.31346,0.059902,0.000883,0.42482,0.32472,0.004568,151.36,-0.015769,-1
11,0.25913,0.062654,0.17597,0.25421,0.001747,0.074445,0.26934,0.014124,166.03,0.15059,-1
14,0.29844,0.079905,0.31072,0.23393,0.001415,0.20889,0.34241,0.015393,195.93,-0.078832,-1
34,0.49615,0.23784,0.89461,0.16593,0.020008,1.3166,0.95223,0.014091,369.93,0.063115,-1
12,0.30171,0.083458,0.30314,0.049512,0.001054,0.37957,0.30658,0.001044,41.181,-0.005578,-1
7,0.17043,0.024358,0.091757,0.028509,0.000074,0.085024,0.099315,0.009534,167.65,0.21048,-1
58,0.45203,0.20143,0.75582,1.6779,0.38445,0.26461,0.96597,0.015095,889.93,-0.006028,-1
95,0.56659,0.31251,1.3648,2.1008,0.073735,1.8545,1.5416,0.008489,2019.1,0.021211,-1
36,0.43496,0.18499,0.68632,3.9035,0.27008,0.23302,0.83898,0.0161,451.44,-0.021102,-1
34,0.31723,0.097143,0.35674,1.6653,0.001189,0.18754,0.45734,0.005685,913.27,0.047952,-1
36,0.21512,0.044425,0.17224,0.64619,0.000154,0.10181,0.21588,0.003036,2793.5,0.052556,1
14,0.26088,0.063101,0.23222,0.08503,0.000281,0.3443,0.23937,0.001764,175.51,-0.010033,-1
23,0.20746,0.040789,0.144,0.48427,0.001583,0.06826,0.18527,0.003602,1113.8,0.046938,-1
13,0.30309,0.084395,0.30722,0.052298,0.00078,0.44991,0.31638,0.004819,135.85,-0.03424,-1
11,0.25647,0.059457,0.17627,0.22633,0.001949,0.073253,0.25858,0.014991,177.66,0.14031,-1
20,0.32725,0.099564,0.38192,0.54441,0.000937,0.23047,0.45415,0.015214,320.22,-0.073189,-1
34,0.49774,0.23893,0.92202,0.17734,0.009113,1.9366,0.97229,0.014423,391.27,0.060333,-1
13,0.31318,0.090273,0.33072,0.058476,0.001307,0.41277,0.33564,0.001254,67.682,0.003502,-1
7,0.1728,0.025043,0.077387,0.02546,0.00016,0.046061,0.084742,0.006896,166.57,0.16371,-1
58,0.45276,0.20186,0.75425,1.7363,0.42544,0.25587,0.9831,0.015665,1077.9,-0.013354,-1
95,0.56719,0.31314,1.3661,2.0938,0.06251,1.9433,1.5403,0.008438,2381.9,0.020935,-1
36,0.43479,0.18422,0.69036,3.4032,0.26991,0.23373,0.84756,0.016828,514.91,-0.025597,-1
33,0.31191,0.093062,0.34418,1.8635,0.000829,0.18309,0.42501,0.004003,768.69,0.028003,-1
15,0.26345,0.064656,0.2415,0.051378,0.000096,0.54431,0.24562,0.000719,142.97,-0.013937,-1
36,0.21522,0.044672,0.17519,0.26611,0.000144,0.14502,0.2018,0.002319,2585.1,0.036367,1
22,0.20587,0.03985,0.14071,0.64578,0.00088,0.074428,0.16409,0.003181,857.47,-0.005844,-1
13,0.30044,0.083289,0.31079,0.064287,0.001287,0.34814,0.32517,0.005591,139.41,-0.034452,-1
11,0.26625,0.068012,0.17611,0.28872,0.00259,0.071511,0.29199,0.018329,205.91,0.12179,-1
21,0.33034,0.10093,0.39507,0.58732,0.001435,0.23366,0.48775,0.017255,447.56,-0.07137,-1
34,0.49586,0.23732,0.89766,0.1672,0.030327,1.0913,0.96777,0.013046,366.03,0.071097,-1
13,0.31109,0.089183,0.32939,0.038035,0.010256,0.1628,0.33209,0.000545,47.672,0.003507,-1
7,0.17324,0.02593,0.080966,0.036996,0.000092,0.049522,0.089823,0.006377,121.36,0.094368,-1
58,0.45217,0.20136,0.75465,1.71,0.35764,0.27103,0.9674,0.015298,912,-0.00193,-1
95,0.56738,0.31332,1.368,2.1232,0.064076,1.9232,1.5238,0.008032,1805.3,0.019592,-1
36,0.43427,0.18407,0.68649,3.1376,0.42039,0.21147,0.82864,0.01361,480.42,-0.033494,-1
34,0.31764,0.096311,0.358,1.4317,0.001061,0.18885,0.44113,0.004916,750.73,0.032595,-1
28,0.35454,0.12121,0.46729,0.054731,0.001055,1.3344,0.47026,0.000231,186.92,0.000471,-1
38,0.22186,0.047557,0.18705,0.26324,0.000169,0.17252,0.21417,0.001449,2710.5,0.045172,1
6,0.14914,0.016574,0.063943,0.040189,0.000007,0.032439,0.078083,0.019458,134.51,-0.23506,1
13,0.3011,0.083103,0.3067,0.056,0.00024,0.61444,0.31191,0.002975,92.037,0.00683,-1
12,0.26499,0.069402,0.19411,0.3264,0.002199,0.078541,0.28705,0.016155,221.36,0.066975,-1
21,0.3322,0.10283,0.38151,0.61954,0.001712,0.22236,0.47333,0.015632,354.57,-0.062645,-1
34,0.49594,0.2373,0.89369,0.15215,0.012563,1.6744,0.94381,0.01157,335.08,0.062955,-1
13,0.31302,0.09025,0.32983,0.074672,0.027996,0.10927,0.33902,0.001229,79.482,-0.023348,-1
7,0.16801,0.023271,0.083288,0.037076,0.000009,0.065379,0.090515,0.008051,85.559,0.18632,-1
58,0.45289,0.20197,0.7536,1.727,0.40892,0.25986,0.99768,0.017523,1074.4,-0.012248,-1
95,0.56739,0.31345,1.3568,2.1402,0.065527,1.9019,1.5373,0.0084,2181.3,0.019231,-1
36,0.43464,0.18472,0.69336,3.4767,0.41945,0.21187,0.81105,0.012273,513.54,-0.017093,-1
34,0.31826,0.097403,0.3594,2.2575,0.000971,0.18637,0.47663,0.006553,1057.5,0.060165,-1
51,0.4775,0.22347,0.88069,7.0744,0.01802,1.4986,0.91308,0.001657,580.54,0.009663,-1
34,0.21488,0.045221,0.17074,0.33863,0.000423,0.11587,0.2125,0.002942,2486.9,0.032724,1
13,0.3037,0.084759,0.31043,0.068545,0.000777,0.42169,0.3235,0.005187,188,0.015313,-1
11,0.25391,0.059176,0.17638,0.22026,0.001666,0.075061,0.25619,0.01295,198.07,0.17052,-1
21,0.33024,0.10142,0.39661,0.52487,0.00155,0.25096,0.47772,0.014281,500.8,-0.062285,-1
34,0.49837,0.23953,0.90281,0.16472,0.011315,1.7821,0.962,0.010702,349.27,0.061335,-1
13,0.31181,0.089553,0.32987,0.045318,0.016053,0.13195,0.33378,0.00095,70.229,-0.008658,-1
7,0.16866,0.023808,0.078127,0.025717,0.000063,0.059886,0.084654,0.005919,146.65,0.16548,-1
58,0.45267,0.20181,0.75395,1.7121,0.37792,0.26692,0.98154,0.016473,935.49,-0.007325,-1
95,0.5676,0.31353,1.373,2.1488,0.064008,1.9092,1.5403,0.008328,2351.9,0.020194,-1
36,0.43415,0.1841,0.68934,2.7958,0.32956,0.22048,0.81679,0.013631,517.61,-0.015967,-1
34,0.31804,0.096248,0.35914,2.1028,0.001024,0.18602,0.46479,0.006116,656.64,0.068286,-1
51,0.4787,0.2246,0.88562,0.22455,0.003445,3.3271,0.90283,0.001912,455.69,-0.002567,-1
12,0.15998,0.022874,0.088191,0.070244,0.000151,0.049429,0.10805,0.004659,743.42,0.018568,-1
32,0.20938,0.042149,0.16004,0.2849,0.000462,0.11014,0.19254,0.001757,2066.9,0.060852,1
13,0.30263,0.084063,0.304,0.061096,0.000523,0.49698,0.31111,0.003223,104.48,-0.042656,-1
10,0.25194,0.060612,0.15875,0.22585,0.002195,0.063507,0.2515,0.01661,146.13,0.13614,-1
